Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
2	23	1022.7	1027.2	--	--	--	8.4	13.0	3.9	57	41	2.5	5.2	南東	8.5	南東	9.4	--	--	快晴	曇一時晴	
2	24	1017.7	1022.1	0.0	0.0	0.0	11.4	14.2	8.0	67	57	2.5	5.7	南	9.8	南	0.5	--	--	雨時々曇	晴一時曇	
2	25	1010.0	1014.4	--	--	--	14.1	20.8	6.8	49	30	4.4	8.5	南南西	16.6	北	10.1	--	--	晴後一時薄曇	快晴	
2	26	1024.3	1028.8	--	--	--	7.2	10.8	3.8	32	17	4.2	10.5	北北西	17.7	北北西	10.6	--	--	快晴	晴後一時曇	
2	27	1018.4	1022.9	--	--	--	10.4	18.7	4.1	47	35	2.4	6.3	南西	10.8	南西	9.1	--	--	晴後一時曇	曇後雨	
2	28	1011.9	1016.5	30.0	4.0	1.0	4.9	9.5	2.2	78	58	3.3	5.6	北北東	10.4	北北東	0.0	--	--	雨後一時みぞれ、あられを伴う	曇一時雨	
3	1	1004.8	1009.3	10.5	3.0	1.0	5.8	7.8	4.4	73	63	2.1	4.3	北東	8.2	北東	0.0	--	--	曇時々雨	雨後曇	
3	2	1000.3	1004.8	0.0	0.5	0.0	6.8	10.3	2.6	51	26	3.1	8.1	北北西	17.0	北北西	1.5	--	--	曇一時雨	快晴	
3	3	1006.3	1010.8	--	--	--	4.4	8.1	1.8	29	18	4.6	8.5	北西	15.3	北西	7.8	--	--	晴後曇	曇後晴	
3	4	1009.2	1013.7	--	--	--	4.6	8.3	1.9	25	18	4.2	7.5	北西	13.4	北北西	9.4	--	--	晴後一時曇	快晴	
3	5	1015.1	1019.6	--	--	--	7.4	11.5	1.6	35	17	3.2	6.6	北西	10.9	北北西	10.6	--	--	晴後一時薄曇	晴時々薄曇	
3	6	1007.8	1012.2	--	--	--	9.3	15.0	2.9	42	27	1.9	3.9	西北西	5.5	北西	6.8	--	--	薄曇時々晴	薄曇後雨	
3	7	1002.2	1006.7	28.0	5.5	1.0	4.5	9.3	1.0	74	47	2.3	5.0	北北東	9.3	北北東	0.0	--	0	雨時々みぞれ一時雪	雨後曇	
3	8	1007.1	1011.6	0.5	0.5	0.5	6.9	10.0	2.6	59	34	1.8	5.0	南南東	8.2	南南東	3.5	--	--	曇時々晴	晴一時曇	
3	9	1008.1	1012.5	--	--	--	7.4	12.0	3.7	45	17	3.7	9.1	北西	18.5	北西	9.8	--	--	晴	晴	
3	10	1011.9	1016.4	--	--	--	6.2	10.0	2.7	29	16	3.2	7.1	北西	13.5	北西	9.2	--	--	晴後一時曇	曇一時晴	
3	11	1010.5	1015.0	0.0	0.0	0.0	6.5	11.3	2.9	34	19	3.6	8.8	北北西	16.0	北北西	7.8	--	--	晴一時曇	快晴	
3	12	1017.6	1022.1	--	--	--	8.2	12.9	2.3	40	16	2.9	7.4	南	11.0	南	9.9	--	--	晴時々薄曇	薄曇時々晴	
3	13	1016.1	1020.5	--	--	--	11.3	15.9	5.2	49	23	2.4	4.4	西北西	7.5	南南西	11.0	--	--	快晴	快晴	
3	14	1009.8	1014.2	--	--	--	14.1	20.2	6.7	55	40	3.6	7.5	南	13.2	南	7.6	--	--	薄曇	薄曇時々晴	
3	15	1003.7	1008.1	0.0	0.0	0.0	10.9	14.0	9.2	58	45	2.9	5.2	東北東	11.1	北東	0.5	--	--	曇	曇後一時雨	
3	16	997.8	1002.2	0.0	0.0	0.0	7.5	13.0	3.5	43	18	4.7	11.2	北北西	21.9	北西	7.9	--	--	晴時々曇	晴	
3	17	1009.4	1013.9	--	--	--	4.6	8.9	1.8	24	12	5.2	8.8	北西	18.2	西北西	9.2	--	--	晴	晴一時曇	
3	18	1018.8	1023.4	--	--	--	6.1	10.1	1.2	32	16	3.8	6.2	南南東	12.2	北西	11.3	--	--	晴	曇一時晴	
3	19	1012.7	1017.1	--	--	--	12.3	18.2	6.7	41	25	3.1	5.8	南	10.1	南	8.4	--	--	晴一時曇	晴後一時曇	
3	20	1009.6	1013.9	--	--	--	13.7	17.0	9.4	48	36	3.5	8.9	南	15.8	南	6.0	--	--	曇時々晴	曇時々晴	
3	21	1006.4	1010.8	20.0	6.0	1.5	9.6	13.4	7.3	75	56	2.7	5.0	東北東	10.2	東北東	0.0	--	--	雨	雨	
3	22	1008.4	1012.9	13.5	2.5	0.5	6.9	7.6	5.7	79	72	1.9	3.9	東	7.9	北北東	0.0	--	--	雨	雨後一時曇	
3	23	1011.3	1015.8	1.5	0.5	0.5	6.4	10.0	2.7	63	34	2.8	5.0	南	9.1	北東	1.8	--	--	曇時々雨	雨後曇	
3	24	1014.9	1019.4	0.0	0.5	0.0	5.4	8.1	2.9	47	28	2.3	5.7	南南東	7.9	南南東	4.0	--	--	曇後時々晴	晴	
3	25	1011.9	1016.4	0.0	0.0	0.0	8.1	13.4	3.5	52	24	3.2	8.3	南南東	15.9	南西	8.7	--	--	晴後一時曇	曇時々雨一時晴	
3	26	1011.0	1015.5	0.0	0.0	0.0	7.4	11.6	4.3	39	18	5.3	9.6	北西	19.9	北西	11.7	--	--	快晴	晴	
3	27	1018.7	1023.2	0.0	0.0	0.0	7.4	12.0	2.9	31	15	3.0	6.6	北西	11.4	北西	9.0	--	--	晴	曇時々雨一時晴	
